"filename", "language", "JSON", "Dockerfile", "YAML", "Properties", "JavaScript", "XML", "Markdown", "C#", "HTML", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\.editorconfig", "Properties", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\Dockerfile", "Dockerfile", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 14, 28
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\angular.json", "JSON", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 125
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\e2e\protractor.conf.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 6, 2, 32
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 5, 24
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\e2e\src\app.po.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\e2e\tsconfig.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\karma.conf.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 2, 2, 33
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\package-lock.json", "JSON", 13447, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13448
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\package.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_models\photo.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_models\user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_resolvers\member-detail.resolver.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_resolvers\member-edit.resolver.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 5, 28
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_resolvers\member-list.resolver.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 5, 27
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_services\alertify.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 1, 8, 36
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_services\auth.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 4, 13
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_services\auth.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 9, 42
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_services\error.interceptor.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 5, 3, 49
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_services\user.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 4, 17
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\_services\user.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 5, 8, 37
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 7
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 10, 17, 115
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\guards\auth.guard.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\guards\prevent-unsaved-changes.guard.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\home\home.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\home\home.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\home\home.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 6, 26
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\home\home.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 11, 30
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\lists\lists.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\lists\lists.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\lists\lists.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 6, 26
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\lists\lists.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 5, 16
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\members\member-card\member-card.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 7, 36
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\members\member-card\member-card.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\members\member-card\member-card.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\members\member-card\member-card.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 4, 17
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\members\member-detail\member-detail.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 6, 21
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\members\member-detail\member-detail.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 1, 56
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\members\member-detail\member-detail.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\members\member-detail\member-detail.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 8, 11, 64
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\members\member-edit\member-edit.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 6, 20
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\members\member-edit\member-edit.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 4, 70
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\members\member-edit\member-edit.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 6, 26
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\members\member-edit\member-edit.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 1, 9, 48
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\members\member-list\member-list.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\members\member-list\member-list.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\members\member-list\member-list.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 6, 26
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\members\member-list\member-list.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 7, 7, 32
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\members\photo-editor\photo-editor.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 5, 24
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\members\photo-editor\photo-editor.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 14, 84
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\members\photo-editor\photo-editor.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 6, 26
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\members\photo-editor\photo-editor.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 12, 70
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\messages\messages.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\messages\messages.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\messages\messages.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 6, 26
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\messages\messages.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 5, 16
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\nav\nav.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\nav\nav.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 8, 40
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\nav\nav.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 6, 26
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\nav\nav.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 3, 11, 47
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\register\register.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\register\register.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 5, 19
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\register\register.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 6, 26
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\register\register.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 11, 37
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\app\routes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 3, 32
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\environments\environment.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11, 3, 18
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 4, 13
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\polyfills.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 55, 8, 64
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 2, 11, 58
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 4, 4, 21
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\src\typings.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\tsconfig.app.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\tsconfig.json", "JSON", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\tsconfig.spec.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp-SPA\tslint.json", "JSON", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Controllers\AuthController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 12, 23, 97
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Controllers\PhotosController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 9, 28, 143
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Controllers\UsersController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 2, 18, 71
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Controllers\ValuesController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 5, 8, 61
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Controllers\WeatherForecastController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 5, 40
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Data\AuthRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 10, 21, 91
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Data\DataContext.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Data\DatingRespository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 2, 13, 63
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Data\IAuthRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 4, 18
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Data\IDatingRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Data\Seed.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 8, 3, 47
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Data\UserSeedData.json", "JSON", 2102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2104
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\DatingApp.Api.csproj", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Dockerfile", "Dockerfile", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 19
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Dtos\PhotoForReturnDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Dtos\PhotoforCreationDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Dtos\PhotosForDetailedDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Dtos\UserForDetailedDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Dtos\UserForListDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Dtos\UserForLoginDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Dtos\UserForRegisterDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Dtos\UserForUpdateDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Migrations\20200328035746_initCreate.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 1, 6, 37
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Migrations\20200328035746_initCreate.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 3, 30
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Migrations\20200328215837_AddedUserEntity.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 1, 12, 58
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Migrations\20200328215837_AddedUserEntity.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 3, 33
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Migrations\20200501041816_ExtendedUserClass.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 1, 31, 122
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Migrations\20200501041816_ExtendedUserClass.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 22, 129
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Migrations\20200503004248_AddedPublicId.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 1, 32, 125
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Migrations\20200503004248_AddedPublicId.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Migrations\DataContextModelSnapshot.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 1, 32, 123
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Models\Photo.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Models\User.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Models\Value.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Program.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 2, 5, 48
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Properties\launchSettings.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Startup.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 8, 17, 109
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\WeatherForecast.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\appsettings.Development.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\helpers\AutoMapperProfiles.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 1, 6, 34
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\helpers\CloudinarySettings.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\helpers\Extenstions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 3, 26
"c:\Users\nicchl01\Downloads\projects\Core\docker-compose.yml", "YAML", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"Total", "-", 15916, 15, 23, 10, 53, 16, 14, 1367, 298, 962, 129, 219, 714, 19736